time,power_reference.common@sensor_1:VALUE,power_hi.common@sensor_1:VALUE
2025-06-12 09:55:51,186.7233333333333,77.42105263157895
2025-06-12 09:56:51,625.8433333333334,125.3333333333333
2025-06-12 09:57:51,776.51,251.6666666666667
2025-06-12 09:58:51,763.764,244.0666666666667
2025-06-12 09:59:51,759.4533333333334,245.0
2025-06-12 10:00:51,770.7133333333334,246.3333333333333
2025-06-12 10:01:51,780.3766666666667,249.7777777777778
2025-06-12 10:02:51,789.3866666666667,256.6666666666667
2025-06-12 10:03:51,764.9200000000001,241.8888888888889
2025-06-12 10:04:51,247.8933333333333,135.6666666666667
2025-06-12 10:05:51,592.36,179.0
2025-06-12 10:06:51,778.8733333333333,250.8333333333333
2025-06-12 10:07:51,496.4266666666667,135.6666666666667
2025-06-12 10:08:51,771.3633333333333,248.695652173913
2025-06-12 10:09:51,776.896,248.9333333333333
2025-06-12 10:10:51,779.7333333333333,249.2602739726027
2025-06-12 10:11:51,777.8000000000001,250.6470588235294
2025-06-12 10:12:51,778.44,251.8235294117647
2025-06-12 10:13:51,801.62,256.8571428571428
2025-06-12 10:14:51,813.21,214.0
2025-06-12 10:15:51,652.89,200.0
2025-06-12 10:16:51,805.49,225.0
2025-06-12 10:17:51,808.38,260.0
2025-06-12 10:18:51,791.962,257.5714285714286
2025-06-12 10:19:51,790.6733333333334,256.6190476190476
2025-06-12 10:20:51,797.76,255.1764705882353
2025-06-12 10:21:51,791.96,257.4
2025-06-12 10:22:51,805.87,262.7058823529412
2025-06-12 10:23:51,819.01,267.9166666666667
2025-06-12 10:24:51,844.3344444444444,273.6666666666667
2025-06-12 10:25:51,846.6933333333333,274.3333333333333
2025-06-12 10:26:51,820.9433333333334,264.8666666666667
2025-06-12 10:27:51,819.973888888889,264.4222222222222
2025-06-12 10:28:51,818.6883333333334,264.1754385964912
2025-06-12 10:29:51,807.4133333333333,263.1228070175438
2025-06-12 10:30:51,815.7916666666667,262.0666666666667
2025-06-12 10:31:51,837.6788888888889,258.0
2025-06-12 10:32:51,825.1233333333333,269.9166666666667
2025-06-12 10:33:51,839.61,276.1111111111111
2025-06-12 10:34:51,869.8733333333333,290.5555555555555
2025-06-12 10:35:51,701.1766666666666,254.3333333333333
2025-06-12 10:36:51,532.4866666666667,209.6666666666667
2025-06-12 10:37:51,215.6966666666667,71.33333333333333
2025-06-12 10:38:51,815.7866666666667,220.6666666666667
2025-06-12 10:39:51,883.394,295.0
2025-06-12 10:40:51,885.54,298.6666666666667
2025-06-12 10:41:51,887.2616666666667,292.8333333333333
2025-06-12 10:42:51,890.4733333333334,291.3333333333333
2025-06-12 10:43:51,900.6225,301.8333333333333
2025-06-12 10:44:51,314.2133333333333,135.6666666666667
2025-06-12 10:45:51,231.3125,76.55555555555556
2025-06-12 10:46:51,221.49,71.66666666666667
2025-06-12 10:47:51,801.62,312.0
2025-06-12 10:48:51,309.06,92.0
2025-06-12 10:49:51,166.12,51.66666666666666
2025-06-12 10:50:51,156.46,47.625
2025-06-12 10:51:51,158.395,48.875
2025-06-12 10:52:51,156.46,50.2
2025-06-12 10:53:51,158.004,53.0
2025-06-12 10:54:51,189.3,63.5
2025-06-12 10:55:51,925.2466666666667,315.0
2025-06-12 10:56:51,963.88,334.0
2025-06-12 10:57:51,1021.83,356.0
2025-06-12 10:58:51,424.96,150.0
2025-06-12 10:59:51,244.025,72.22222222222223
2025-06-12 11:00:51,233.7266666666667,75.33333333333333
2025-06-12 11:01:51,252.4,74.66666666666667
2025-06-12 11:02:51,981.2616666666667,331.2222222222222
2025-06-12 11:03:51,377.31,113.3333333333333
2025-06-12 11:04:51,182.0044444444444,59.42222222222222
2025-06-12 11:05:51,935.545,320.3333333333333
2025-06-12 11:06:51,240.8083333333333,83.66666666666667
2025-06-12 11:07:51,567.25,144.6666666666667
2025-06-12 11:08:51,333.53,101.3333333333333
2025-06-12 11:09:51,261.735,83.5
2025-06-12 11:10:51,231.1533333333333,71.43333333333334
2025-06-12 11:11:51,925.89,321.6666666666667
2025-06-12 11:12:51,258.8366666666666,98.33333333333333
2025-06-12 11:13:51,303.91,93.66666666666667
2025-06-12 11:14:51,954.2233333333334,348.6666666666667
2025-06-12 11:15:51,976.7566666666667,349.0
2025-06-12 11:16:51,667.6933333333333,157.3333333333333
2025-06-12 11:17:51,926.535,319.35
2025-06-12 11:18:51,940.2175,325.0
2025-06-12 11:19:51,955.185,329.6666666666667
2025-06-12 11:20:51,237.59,74.0
2025-06-12 11:21:51,629.71,229.0
2025-06-12 11:22:51,258.84,85.0
2025-06-12 11:23:51,216.34,60.66666666666666
2025-06-12 11:24:51,198.96,59.93333333333333
2025-06-12 11:25:51,245.32,68.0
2025-06-12 11:26:51,260.77,77.0
2025-06-12 11:27:51,197.03,58.0
2025-06-12 11:28:51,169.985,49.23076923076923
2025-06-12 11:29:51,167.6222222222222,51.93333333333333
2025-06-12 11:30:51,169.9833333333333,56.91666666666666
2025-06-12 11:31:51,487.41,206.6666666666667
2025-06-12 11:32:51,909.1508333333333,315.6666666666667
2025-06-12 11:33:51,897.9877777777778,314.0666666666667
2025-06-12 11:34:51,914.0078787878788,315.7901234567901
2025-06-12 11:35:51,924.3844444444444,320.0
2025-06-12 11:36:51,962.8033333333333,334.8333333333333
2025-06-12 11:37:51,999.2933333333334,352.5555555555555
2025-06-12 11:38:51,1003.796666666667,353.6666666666667
2025-06-12 11:39:51,959.3688888888889,332.0
2025-06-12 11:40:51,917.7322222222223,344.3333333333333
2025-06-12 11:41:51,922.0233333333333,323.1578947368421
2025-06-12 11:42:51,954.8633333333333,336.3333333333333
2025-06-12 11:43:51,988.3433333333334,337.3333333333333
2025-06-12 11:44:51,395.9833333333333,133.6666666666667
2025-06-12 11:45:51,561.4566666666666,201.6666666666667
2025-06-12 11:46:51,221.1366666666667,64.96296296296296
2025-06-12 11:47:51,215.7011111111111,63.66666666666666
2025-06-12 11:48:51,327.09,83.33333333333333
2025-06-12 11:49:51,969.6750000000001,343.3333333333333
2025-06-12 11:50:51,707.62,156.6666666666667
2025-06-12 11:51:51,351.5533333333333,111.3333333333333
2025-06-12 11:52:51,957.4366666666667,319.6666666666667
2025-06-12 11:53:51,932.33,318.2
2025-06-12 11:54:51,923.3166666666666,311.0
2025-06-12 11:55:51,918.485,311.8571428571428
2025-06-12 11:56:51,938.77,318.0
2025-06-12 11:57:51,983.19,339.0
2025-06-12 11:58:51,347.69,115.0
2025-06-12 11:59:51,237.59,78.0
2025-06-12 12:00:51,239.52,75.5
2025-06-12 12:01:51,297.47,89.0
2025-06-12 12:02:51,413.37,209.0
2025-06-12 12:03:51,996.72,348.0
2025-06-12 12:04:51,980.489,333.0
2025-06-12 12:05:51,996.235,331.75
2025-06-12 12:06:51,992.3009523809524,356.7142857142857
2025-06-12 12:07:51,999.9366666666666,341.3333333333333
2025-06-12 12:08:51,996.8463333333333,343.2222222222222
2025-06-12 12:09:51,1024.403333333333,338.1666666666667
2025-06-12 12:10:51,327.7333333333333,112.7777777777778
2025-06-12 12:11:51,820.94,149.3333333333333
2025-06-12 12:12:51,248.408,74.33333333333333
2025-06-12 12:13:51,282.6566666666666,80.66666666666667
2025-06-12 12:14:51,402.7466666666667,119.0
2025-06-12 12:15:51,903.3533333333334,267.6666666666667
2025-06-12 12:16:51,338.4644444444444,98.11111111111111
2025-06-12 12:17:51,327.73,100.6666666666667
2025-06-12 12:18:51,963.88,339.4
2025-06-12 12:19:51,1025.043333333333,347.5555555555555
2025-06-12 12:20:51,1025.043333333333,345.9259259259259
2025-06-12 12:21:51,1051.121666666667,357.6666666666667
2025-06-12 12:22:51,430.11,125.0
2025-06-12 12:23:51,929.11,287.6666666666667
2025-06-12 12:24:51,961.5200000000001,327.0
2025-06-12 12:25:51,951.485,312.1111111111111
2025-06-12 12:26:51,948.5711111111111,315.6862745098039
2025-06-12 12:27:51,936.4055555555556,307.5925925925926
2025-06-12 12:28:51,930.8255555555555,306.7619047619048
2025-06-12 12:29:51,952.9333333333333,317.25
2025-06-12 12:30:51,1014.1,347.0
2025-06-12 12:31:51,1093.3,343.5
2025-06-12 12:32:51,382.46,113.0
2025-06-12 12:33:51,260.77,67.0
2025-06-12 12:34:51,264.63,68.0
