time,watt_hi.common@irr_1:['MAX_VALUE'],watt_hi.common@irr_2:['MAX_VALUE'],watt_hi.common@irr_3:['MAX_VALUE'],watt.common@irr_dav_1:['MAX_VALUE']
1755753720,9.390410958904098,9.0,10.05498281786942,125.56
1755753725,9.398972602739715,9.0,10.06357388316151,121.6966666666667
1755753730,9.40753424657533,9.0,10.07216494845361,122.8
1755753735,9.416095890410947,9.0,10.0807560137457,125.56
1755753740,9.424657534246563,9.0,10.0893470790378,127.49
1755753745,9.43321917808218,9.0,10.0979381443299,123.6266666666667
1755753750,9.441780821917796,9.0,10.10652920962199,127.49
1755753755,9.450342465753412,9.0,10.11512027491409,127.49
1755753760,9.458904109589028,9.0,10.12371134020619,123.6266666666667
1755753765,9.467465753424644,9.0,10.13230240549828,129.42
1755753770,9.47602739726026,9.0,10.14089347079038,129.42
1755753775,9.484589041095877,9.0,10.14948453608247,129.42
1755753780,9.493150684931493,9.0,10.15807560137457,122.3388888888889
1755753785,9.501712328767109,9.0,10.16666666666667,127.49
1755753790,9.510273972602725,9.0,10.17525773195876,121.695
1755753795,9.518835616438341,9.0,10.18384879725086,121.39
1755753800,9.527397260273958,9.0,10.19243986254295,124.44
1755753805,9.535958904109574,9.0,10.20103092783505,127.49
1755753810,9.54452054794519,9.0,10.20962199312715,128.2941666666667
1755753815,9.553082191780806,9.0,10.21821305841924,129.0983333333333
1755753820,9.561643835616422,9.0,10.22680412371134,129.42
1755753825,9.570205479452039,9.0,10.23539518900344,116.9722222222222
1755753830,9.578767123287655,9.0,10.24398625429553,117.83
1755753835,9.587328767123271,9.0,10.25257731958763,117.3475
1755753840,9.595890410958887,9.0,10.26116838487972,120.881052631579
1755753845,9.604452054794503,9.0,10.26975945017182,124.4389473684211
1755753850,9.61301369863012,9.0,10.27835051546392,127.9968421052632
1755753855,9.621575342465736,9.0,10.28694158075601,129.42
1755753860,9.630136986301352,9.0,10.29553264604811,117.8785365853659
1755753865,9.638698630136968,9.0,10.30412371134021,119.5273170731707
1755753870,9.647260273972584,9.0,10.3127147766323,121.1760975609756
1755753875,9.6558219178082,9.0,10.3213058419244,122.8248780487805
1755753880,9.664383561643817,9.0,10.32989690721649,124.4736585365854
1755753885,9.672945205479433,9.0,10.33848797250859,126.1224390243902
1755753890,9.68150684931505,9.0,10.34707903780069,127.7712195121951
1755753895,9.690068493150665,9.0,10.35567010309278,129.42
1755753900,9.698630136986282,9.0,10.36426116838488,129.42
1755753905,9.707191780821898,9.0,10.37285223367697,129.42
1755753910,9.715753424657514,9.0,10.38144329896907,129.42
1755753915,9.72431506849313,9.0,10.39003436426117,129.42
1755753920,9.732876712328746,9.0,10.39862542955326,129.42
1755753925,9.741438356164364,9.0,10.40721649484536,124.9133333333333
1755753930,9.74999999999998,9.0,10.41580756013746,119.12
1755753935,9.758561643835598,9.0,10.42439862542955,126.8466666666667
1755753940,9.767123287671215,9.0,10.43298969072165,129.42
1755753945,9.775684931506833,9.0,10.44158075601374,118.604
1755753950,9.784246575342449,9.0,10.45017182130584,121.308
1755753955,9.792808219178067,9.0,10.45876288659794,124.012
1755753960,9.801369863013683,9.0,10.46735395189003,126.716
1755753965,9.809931506849301,9.0,10.47594501718213,129.42
1755753970,9.818493150684917,9.0,10.48453608247423,129.42
1755753975,9.827054794520535,9.0,10.49312714776632,120.4470967741935
1755753980,9.835616438356151,9.0,10.50171821305842,122.3164516129032
1755753985,9.84417808219177,9.0,10.51030927835051,124.1858064516129
1755753990,9.852739726027385,9.0,10.51890034364261,126.0551612903226
1755753995,9.861301369863003,9.0,10.52749140893471,127.9245161290322
1755754000,9.86986301369862,9.0,10.5360824742268,129.42
1755754005,9.878424657534238,9.0,10.5446735395189,127.4883333333333
1755754010,9.886986301369854,9.0,10.55326460481099,120.88
1755754015,9.895547945205472,9.0,10.56185567010309,123.93
1755754020,9.904109589041088,9.0,10.57044673539519,126.98
1755754025,9.912671232876706,9.0,10.57903780068728,129.42
1755754030,9.921232876712322,9.0,10.58762886597938,125.5566666666667
1755754035,9.92979452054794,9.0,10.59621993127148,122.9811111111111
1755754040,9.938356164383556,9.0,10.60481099656357,126.2005555555556
1755754045,9.946917808219174,9.0,10.61340206185567,129.42
1755754050,9.95547945205479,9.0,10.62199312714776,129.42
1755754055,9.964041095890408,9.0,10.63058419243986,127.49
1755754060,9.972602739726025,9.0,10.63917525773196,125.075
1755754065,9.981164383561643,9.0,10.64776632302405,122.6023529411765
1755754070,9.989726027397259,9.0,10.65635738831615,126.0111764705882
1755754075,9.998287671232877,9.0,10.66494845360825,129.42
1755754080,10.0,9.0,10.67353951890034,129.42
1755754085,10.0,9.0,10.68213058419244,122.17625
1755754090,10.0,9.0,10.69072164948453,118.1269230769231
1755754095,10.0,9.0,10.69931271477663,118.339010989011
1755754100,10.0,9.0,10.70790378006873,118.5510989010989
1755754105,10.0,9.0,10.71649484536082,118.7631868131868
1755754110,10.0,9.0,10.72508591065292,118.9752747252747
1755754115,10.0,9.0,10.73367697594501,119.1873626373626
1755754120,10.0,9.0,10.74226804123711,119.3994505494505
1755754125,10.0,9.0,10.75085910652921,119.6115384615384
1755754130,10.0,9.0,10.7594501718213,119.8236263736264
1755754135,10.0,9.0,10.7680412371134,120.0357142857143
1755754140,10.0,9.0,10.7766323024055,120.2478021978022
1755754145,10.0,9.0,10.78522336769759,120.4598901098901
1755754150,10.0,9.0,10.79381443298969,120.671978021978
1755754155,10.0,9.0,10.80240549828178,120.8840659340659
1755754160,10.0,9.0,10.81099656357388,121.0961538461538
1755754165,10.0,9.005154639175258,10.81958762886598,121.3082417582417
1755754170,10.0,9.013745704467354,10.82817869415807,121.5203296703297
1755754175,10.0,9.02233676975945,10.83676975945017,124.91
1755754180,10.0,9.030927835051546,10.84536082474227,131.35
1755754185,10.0,9.039518900343642,10.85395189003436,125.3411111111111
1755754190,10.0,9.048109965635739,10.86254295532646,131.35
1755754195,10.0,9.056701030927835,10.87113402061855,127.97
1755754200,10.0,9.065292096219931,10.87972508591065,122.8110526315789
1755754205,10.0,9.073883161512027,10.88831615120275,126.368947368421
1755754210,10.0,9.082474226804123,10.89690721649484,129.9268421052631
1755754215,10.0,9.09106529209622,10.90549828178694,131.35
1755754220,10.0,9.099656357388316,10.91408934707903,120.5895238095238
1755754225,10.0,9.108247422680412,10.92268041237113,123.3490476190476
1755754230,10.0,9.116838487972508,10.93127147766323,126.1085714285714
1755754235,10.0,9.125429553264604,10.93986254295532,128.8680952380952
1755754240,10.0,9.1340206185567,10.94845360824742,129.42
1755754245,10.0,9.142611683848797,10.95704467353952,118.5770967741935
1755754250,10.0,9.151202749140893,10.96563573883161,119.1996774193548
1755754255,10.0,9.15979381443299,10.97422680412371,119.8222580645161
1755754260,10.0,9.168384879725085,10.98281786941581,120.4448387096774
1755754265,10.0,9.176975945017182,10.9914089347079,121.0674193548387
1755754270,10.0,9.185567010309278,11.0,121.69
1755754275,10.0,9.194158075601374,11.0,121.69
1755754280,10.0,9.20274914089347,11.0,122.3770967741935
1755754285,10.0,9.211340206185566,11.0,124.2464516129032
1755754290,10.0,9.219931271477662,11.0,126.1158064516129
1755754295,10.0,9.228522336769759,11.0,127.9851612903226
1755754300,10.0,9.237113402061855,11.0,129.8545161290322
1755754305,10.0,9.245704467353951,11.0,131.35
1755754310,10.0,9.254295532646047,11.0,129.0966666666667
1755754315,10.0,9.262886597938143,11.0,119.2085714285714
1755754320,10.0,9.27147766323024,11.0,119.76
